Company,Job Title,Job Description,Job Keywords,Job URL
CMoney全曜財經資訊股份有限公司,【數據應用部】財經數據維運實習生(長期) System Analyst Intern,【公司介紹】CMoney的使命是打造更好的工具，幫助每個人做好人生投資我們推出的投資分析系統有超過400間海內外金融機構使用同時我們也持續創新，團隊至今已經推出上百個App產品。目前已經創造全台灣最大的股票討論社群（股市爆料同學會）最多人使用的投資分析工具（如：籌碼Ｋ線、艾蜜莉定存股...等）全台最多活躍使用者的消費型產品(如:發票載具、簡單記帳...)整體會員人數近千萬! 更多詳細資訊，請參閱以下連結：https://cmy.tw/00BWhP【職務未來】往財經數據規劃師方向發展CMoney 做為全台最大的財經數據供應商，每日正確的數據提供，將影響超過百萬人以上(包含法人與一般投資大眾)的投資活動因此職務之工作目標在於，維護所有公司產品所需之財經數據正確性，及時處理數據衍生之問題，並提供新產品所需的財經數據規劃內容。若你能成為財經規劃師，你將可以~1.參與公司APP中所需資料的開發與設計過程，提出自己的見解，讓產品更加完善2.透過客戶需求，可以了解法人投資行為的思考過程【工作內容】1.協助財經數據規劃師進行日常財經資料維運與問題處理2.完成主管事項交辦【希望你是!】1.對金融投資知識有涉略2.有普業、高業等投資證照尤佳3.會Excel基本操作與函數運用4.會SQL語法尤佳5.需會計、財金、經濟等相關商學系所*可工作一年以上，每日工時約7~8小時，每周至少排3個整天*夜間部學生佳(大學三、四年級優先)*其他條件：>溝通調整工作想法和心態>學習工作需要技能>可獨立及團隊合作>接受長時間面對電腦進行工作【企業文化】▲強調員工身心靈一致，只要你有好的想法，沒有什麼事情不能做!▲鼓勵自我超越，不斷從試錯(try & error)中找到可以做得更好的地方!▲相信貢獻價值，期待每個夥伴都能幫助團隊/公司變得更好!CMoney想邀請優秀的你加入和我們一起走這趟不凡的人生旅程我們持續優化CMoney企業文化，因為我們相信：▲偉大的目標：真正的菁英想要有個超越自我的偉大目標▲一流的同事：菁英真正要的是跟一流的同事共事▲最好的待遇：提供給同業相同職位上的最高薪資歡迎你加入這場有意義的挑戰，一起讓世界變得更好！,[],https://www.cake.me/companies/cmoney/jobs/09da15cd-85a4-42ef-88b3-525a2ec7564e-data-application-departmentfin-3bb02084153f9972bf362f67f00907
大數據股份有限公司,數據編輯實習生 / Data Intern,"數據編輯[[[實習]]]生 Data Intern｜探索數據世界的第一步

[我們在找誰？]
如果妳每天⼀打開手機/電腦就是逛社群、看新聞或追排⾏榜，想搞懂網路熱議話題的背後邏輯脈絡，那你就是我們要找的數據[[[實習]]]⽣！
我們是⼀個結合數據分析技術與網路輿情洞察的","{'emp': {'desc': '員工80人', 'param': '5'}, 'remote': {'desc': '遠端工作'}}",https://www.104.com.tw/job/8i49f?jobsource=apply_analyze
玩美行動股份有限公司,實習生 - 數據分析助理 (非短期寒暑假實習),"【美圖[[[實習]]]生-數據分析助理】 招募中！
我們正在尋找一位熱愛數據分析、具備優秀邏輯思考力的[[[實習]]]生。作為數據分析[[[實習]]]生，您將有機會參與公司內部的各項App的數據項目，協助團隊進行數據收集、分析和報告，並提供有價值的商業洞察。

加入我們，你將負責或","{'emp': {'desc': '員工50人', 'param': '5'}}",https://www.104.com.tw/job/8a5l2?jobsource=apply_analyze
睿思創新股份有限公司,【實習生】數據工程師,"//公司快速擴張中，需要你/妳的加入一起成長

「睿思智慧」目前正積極推廣主力產品 CROSSBOT AI 落地應用平台。 職務內容說明如下：

【主要任務】
1. 與資料科學家、雲端架構師、資料分析師、PM密切合作, 提供客戶高質量的雲端數據相關服務。
2. 負責協助客戶整合、設計、部署大數據處理流程與平臺，設計數據流程 (Data Pipeline)從資料庫、API中取得及彙整資料。
3. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲。
4. 資料 ETL 流程自動化規劃、設計、開發與監控維護。

【工作內容】
1. 數據模型 (Data Schema) 設計
(1) 與團隊合作設計DB/Table Schema和Data Schema。
(2) 有處理各類結構化/半結構化/非結構化數據和串流數據的經驗者優先。
2.數據處理和流程開發
(1) Data ETL (Extracting/Transforming/Loading) 開發ETL流程，用於數據收集、清洗、處理、存儲和分析。
(2) 開發數據整合流程，包括建立可擴展的數據流程和建立數據服務/數據 APIs。
(3) 透過優化數據處理流程，建立數據處理自動化和監控機制。

【必要條件】
1. 具備基礎 SQL 及 Python 程式處理能力。
2. ETL 排程工具開發經驗，如：Dataflow、等。
3. 熟悉雲端環境，如：GCP、Azure、AWS等。
4. 樂於學習新技術，積極肯做的工作態度。
5. 具備Git 版控使用經驗。
6. Docker or Kubernetes 使用經驗。","{'emp': {'desc': '員工30人', 'param': '4'}}",https://www.104.com.tw/job/8eas8?jobsource=apply_analyze
